,Company Name,Industry,stock
346,PB Fintech Ltd.,Financial Services,POLICYBZR.NS
347,PCBL Ltd.,Chemicals,PCBL.NS
348,PI Industries Ltd.,Chemicals,PIIND.NS
349,PNB Housing Finance Ltd.,Financial Services,PNBHOUSING.NS
350,PNC Infratech Ltd.,Construction,PNCINFRA.NS
351,PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX.NS
352,Page Industries Ltd.,Textiles,PAGEIND.NS
353,Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI.NS
354,Persistent Systems Ltd.,Information Technology,PERSISTENT.NS
355,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET.NS
356,Pfizer Ltd.,Healthcare,PFIZER.NS
357,Phoenix Mills Ltd.,Realty,PHOENIXLTD.NS
358,Pidilite Industries Ltd.,Chemicals,PIDILITIND.NS
359,Piramal Enterprises Ltd.,Financial Services,PEL.NS
360,Piramal Pharma Ltd.,Healthcare,PPLPHARMA.NS
361,Poly Medicure Ltd.,Healthcare,POLYMED.NS
362,Polycab India Ltd.,Capital Goods,POLYCAB.NS
363,Polyplex Corporation Ltd.,Capital Goods,POLYPLEX.NS
364,Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA.NS
365,Power Finance Corporation Ltd.,Financial Services,PFC.NS
366,Power Grid Corporation of India Ltd.,Power,POWERGRID.NS
367,Praj Industries Ltd.,Capital Goods,PRAJIND.NS
368,Prestige Estates Projects Ltd.,Realty,PRESTIGE.NS
369,Prince Pipes and Fittings Ltd.,Capital Goods,PRINCEPIPE.NS
370,Prism Johnson Ltd.,Construction Materials,PRSMJOHNSN.NS
371,Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,PGHH.NS
372,Punjab National Bank,Financial Services,PNB.NS
373,Quess Corp Ltd.,Services,QUESS.NS
374,RBL Bank Ltd.,Financial Services,RBLBANK.NS
375,REC Ltd.,Financial Services,RECLTD.NS
376,RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM.NS
377,RITES Ltd.,Construction,RITES.NS
378,Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO.NS
379,Rail Vikas Nigam Ltd.,Construction,RVNL.NS
380,Rain Industries Ltd,Chemicals,RAIN.NS
381,Rainbow Childrens Medicare Ltd.,Healthcare,RAINBOW.NS
382,Rajesh Exports Ltd.,Consumer Durables,RAJESHEXPO.NS
383,Rallis India Ltd.,Chemicals,RALLIS.NS
384,Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,RCF.NS
385,Ratnamani Metals & Tubes Ltd.,Capital Goods,RATNAMANI.NS
386,RattanIndia Enterprises Ltd.,Services,RTNINDIA.NS
387,Raymond Ltd.,Textiles,RAYMOND.NS
388,Redington Ltd.,Services,REDINGTON.NS
389,Relaxo Footwears Ltd.,Consumer Durables,RELAXO.NS
390,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE.NS
391,Restaurant Brands Asia Ltd.,Consumer Services,RBA.NS
392,Rossari Biotech Ltd.,Chemicals,ROSSARI.NS
393,Route Mobile Ltd.,Telecommunication,ROUTE.NS
394,SBI Cards and Payment Services Ltd.,Financial Services,SBICARD.NS
395,SBI Life Insurance Company Ltd.,Financial Services,SBILIFE.NS
396,SJVN Ltd.,Power,SJVN.NS
397,SKF India Ltd.,Capital Goods,SKFINDIA.NS
398,SRF Ltd.,Chemicals,SRF.NS
399,Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON.NS
400,Sanofi India Ltd.,Healthcare,SANOFI.NS
401,Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE.NS
402,Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER.NS
403,Sharda Cropchem Ltd.,Chemicals,SHARDACROP.NS
404,Shoppers Stop Ltd.,Consumer Services,SHOPERSTOP.NS
405,Shree Cement Ltd.,Construction Materials,SHREECEM.NS
406,Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,RENUKA.NS
407,Shriram Finance Ltd.,Financial Services,SHRIRAMFIN.NS
408,Shyam Metalics and Energy Ltd.,Metals & Mining,SHYAMMETL.NS
409,Siemens Ltd.,Capital Goods,SIEMENS.NS
410,Sobha Ltd.,Realty,SOBHA.NS
411,Solar Industries India Ltd.,Chemicals,SOLARINDS.NS
412,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS.NS
413,Sonata Software Ltd.,Information Technology,SONATSOFTW.NS
414,Star Health and Allied Insurance Company Ltd.,Financial Services,STARHEALTH.NS
415,State Bank of India,Financial Services,SBIN.NS
416,Steel Authority of India Ltd.,Metals & Mining,SAIL.NS
417,Sterling and Wilson Renewable Energy Ltd.,Construction,SWSOLAR.NS
